bar,flips,dflips,pass,mismatch,starved
1983,43947,7,1773,0,3071
1984,43989,42,1775,0,3074
1985,44003,14,1776,0,3075
1986,44059,56,1776,0,3083
1987,44080,21,1778,0,3084
1988,44136,56,1778,0,3092
1989,44150,14,1779,0,3093
1990,44157,7,1780,0,3093
1991,44171,14,1781,0,3093
1992,44178,7,1781,0,3094
1993,44192,14,1782,0,3094
1994,44206,14,1783,0,3094
1995,44227,21,1784,0,3095
1996,44269,42,1784,0,3101
1997,44290,21,1786,0,3102
1998,44339,49,1786,0,3109
1999,44353,14,1787,0,3110
2000,44367,14,1788,0,3111
2001,44374,7,1789,0,3111
2002,44416,42,1791,0,3114
2003,44430,14,1792,0,3115
2004,44486,56,1792,0,3123
2005,44507,21,1794,0,3124
2006,44563,56,1794,0,3132
2007,44577,14,1795,0,3133
2008,44633,56,1795,0,3141
2009,44654,21,1797,0,3142
2010,44703,49,1797,0,3149
2011,44724,21,1799,0,3150
2012,44766,42,1799,0,3156
2013,44787,21,1801,0,3157
2014,44794,7,1801,0,3158
2015,44808,14,1802,0,3158
2016,44815,7,1802,0,3159
2017,44829,14,1803,0,3159
2018,44843,14,1804,0,3159
2019,44857,14,1805,0,3159
2020,44878,21,1806,0,3160
2021,44885,7,1807,0,3160
2022,44927,42,1811,0,3160
2023,44941,14,1812,0,3161
2024,44948,7,1813,0,3161
2025,44955,7,1813,0,3162
2026,44976,21,1814,0,3162
2027,44990,14,1815,0,3162
2028,45018,28,1817,0,3163
2029,45060,42,1820,0,3166
2030,45081,21,1822,0,3167
2031,45130,49,1822,0,3174
2032,45151,21,1824,0,3175
2033,45207,56,1824,0,3183
2034,45221,14,1825,0,3184
2035,45277,56,1825,0,3192
2036,45298,21,1827,0,3193
2037,45354,56,1827,0,3201
2038,45368,14,1828,0,3202
2039,45424,56,1828,0,3210
2040,45445,21,1830,0,3211
2041,45494,49,1830,0,3218
2042,45508,14,1831,0,3219
2043,45557,49,1831,0,3226
2044,45578,21,1833,0,3227
2045,45585,7,1833,0,3228
2046,45592,7,1833,0,3229
2047,45634,42,1836,0,3230
2048,45648,14,1837,0,3231
2049,45704,56,1837,0,3239
2050,45725,21,1839,0,3240
2051,45781,56,1839,0,3248
2052,45795,14,1840,0,3249
2053,45851,56,1840,0,3257
2054,45865,14,1841,0,3258
2055,45921,56,1841,0,3266
2056,45935,14,1842,0,3267
2057,45984,49,1842,0,3274
